Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
2180,,,1967,07A,A000,1,07,08,30124,10443,5934,,,,1638,,1151,,1188,,1254,,1437,,1770,,1951,,3063,,,,,295,10443,,,
2180,,,1967,07A,A000,2,07,08,28193,8982,6269,,,,1451,,1007,,1101,,1213,,1103,,1351,,1611,,3877,,,,,228,8982,,,
