Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
2180,,,1961,07A,A020,2,08,08,65,15,15,,,,6,,11,,4,,3,,1,,1,,9,,,,,,,0,15,,,
2180,,,1961,07A,A021,1,08,08,58,10,35,,,,12,,0,,0,,0,,0,,0,,1,,,,,,,0,10,,,
2180,,,1961,07A,A021,2,08,08,54,7,30,,,,16,,1,,0,,0,,0,,0,,0,,,,,,,0,7,,,
2180,,,1961,07A,A022,1,08,08,1497,819,577,,,,72,,1,,0,,0,,1,,0,,0,,,,,,,27,819,,,
2180,,,1961,07A,A022,2,08,08,1607,843,651,,,,84,,5,,1,,0,,0,,0,,1,,,,,,,22,843,,,
2180,,,1961,07A,A023,1,08,08,3,0,2,,,,0,,0,,1,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A023,2,08,08,3,1,1,,,,0,,0,,0,,1,,0,,0,,0,,,,,,,0,1,,,
2180,,,1961,07A,A024,1,08,08,3,1,0,,,,1,,0,,0,,0,,0,,0,,1,,,,,,,0,1,,,
2180,,,1961,07A,A024,2,08,08,6,1,2,,,,1,,0,,0,,0,,0,,1,,1,,,,,,,0,1,,,
2180,,,1961,07A,A025,1,08,08,2,0,0,,,,0,,0,,1,,0,,0,,0,,1,,,,,,,0,0,,,
2180,,,1961,07A,A025,2,08,08,1,0,0,,,,0,,0,,0,,1,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A026,1,08,08,629,507,25,,,,38,,12,,7,,10,,6,,8,,3,,,,,,,13,507,,,
2180,,,1961,07A,A026,2,08,08,448,371,10,,,,19,,11,,18,,7,,1,,5,,2,,,,,,,4,371,,,
2180,,,1961,07A,A027,1,08,08,2,1,1,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,1,,,
2180,,,1961,07A,A027,2,08,08,2,0,0,,,,0,,0,,1,,0,,0,,1,,0,,,,,,,0,0,,,
2180,,,1961,07A,A028,1,08,08,18,1,10,,,,2,,2,,2,,0,,1,,0,,0,,,,,,,0,1,,,
2180,,,1961,07A,A028,2,08,08,18,3,8,,,,3,,1,,0,,1,,1,,0,,1,,,,,,,0,3,,,
2180,,,1961,07A,A029,1,08,08,9,3,3,,,,1,,2,,0,,0,,0,,0,,0,,,,,,,0,3,,,
2180,,,1961,07A,A029,2,08,08,8,0,3,,,,1,,1,,0,,1,,2,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A030,1,08,08,2,1,0,,,,0,,0,,1,,0,,0,,0,,0,,,,,,,0,1,,,
2180,,,1961,07A,A030,2,08,08,2,0,1,,,,0,,0,,0,,1,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A031,1,08,08,98,37,45,,,,10,,1,,3,,1,,0,,0,,0,,,,,,,1,37,,,
2180,,,1961,07A,A031,2,08,08,118,34,62,,,,14,,5,,2,,0,,0,,1,,0,,,,,,,0,34,,,
2180,,,1961,07A,A032,1,08,08,860,195,547,,,,98,,4,,2,,0,,0,,0,,0,,,,,,,14,195,,,
2180,,,1961,07A,A032,2,08,08,931,201,575,,,,119,,8,,7,,2,,1,,0,,1,,,,,,,17,201,,,
2180,,,1961,07A,A033,1,08,08,5,1,2,,,,0,,1,,0,,0,,1,,0,,0,,,,,,,0,1,,,
2180,,,1961,07A,A033,2,08,08,3,0,2,,,,0,,0,,0,,0,,0,,0,,1,,,,,,,0,0,,,
2180,,,1961,07A,A034,1,08,08,19,3,1,,,,5,,0,,1,,0,,2,,2,,5,,,,,,,0,3,,,
2180,,,1961,07A,A034,2,08,08,21,1,3,,,,1,,5,,2,,4,,1,,1,,3,,,,,,,0,1,,,
2180,,,1961,07A,A035,1,08,08,7,0,0,,,,3,,1,,0,,1,,1,,0,,1,,,,,,,0,0,,,
2180,,,1961,07A,A035,2,08,08,7,0,1,,,,5,,0,,0,,1,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A036,1,08,08,11,4,1,,,,2,,1,,0,,1,,1,,1,,0,,,,,,,0,4,,,
2180,,,1961,07A,A036,2,08,08,14,7,1,,,,2,,1,,2,,0,,0,,1,,0,,,,,,,0,7,,,
2180,,,1961,07A,A037,1,08,08,311,26,72,,,,35,,41,,31,,26,,20,,22,,30,,,,,,,8,26,,,
2180,,,1961,07A,A037,2,08,08,203,31,49,,,,27,,10,,16,,14,,7,,18,,27,,,,,,,4,31,,,
2180,,,1961,07A,A038,1,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A038,2,08,08,1,0,1,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A039,1,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A039,2,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A040,1,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A040,2,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A041,1,08,08,46,5,10,,,,10,,5,,5,,2,,3,,3,,3,,,,,,,0,5,,,
2180,,,1961,07A,A041,2,08,08,37,1,7,,,,16,,3,,3,,3,,1,,1,,1,,,,,,,1,1,,,
2180,,,1961,07A,A042,1,08,08,66,10,36,,,,10,,2,,1,,0,,1,,2,,3,,,,,,,1,10,,,
2180,,,1961,07A,A042,2,08,08,82,10,45,,,,19,,2,,0,,0,,3,,2,,1,,,,,,,0,10,,,
2180,,,1961,07A,A043,1,08,08,145,61,39,,,,13,,4,,1,,7,,8,,6,,5,,,,,,,1,61,,,
2180,,,1961,07A,A043,2,08,08,133,44,39,,,,9,,7,,4,,7,,4,,4,,12,,,,,,,3,44,,,
2180,,,1961,07A,A044,1,08,08,11,0,0,,,,0,,0,,0,,0,,0,,2,,9,,,,,,,0,0,,,
2180,,,1961,07A,A044,2,08,08,12,0,0,,,,0,,0,,0,,1,,3,,4,,4,,,,,,,0,0,,,
2180,,,1961,07A,A045,1,08,08,18,0,0,,,,0,,1,,1,,2,,1,,3,,10,,,,,,,0,0,,,
2180,,,1961,07A,A045,2,08,08,5,0,0,,,,0,,0,,0,,2,,0,,1,,2,,,,,,,0,0,,,
2180,,,1961,07A,A046,1,08,08,146,0,0,,,,0,,1,,5,,17,,17,,33,,73,,,,,,,0,0,,,
2180,,,1961,07A,A046,2,08,08,158,0,0,,,,0,,2,,7,,6,,23,,35,,85,,,,,,,0,0,,,
2180,,,1961,07A,A047,1,08,08,18,0,0,,,,0,,1,,0,,0,,2,,3,,12,,,,,,,0,0,,,
2180,,,1961,07A,A047,2,08,08,30,0,0,,,,0,,0,,1,,3,,3,,8,,14,,,,,,,1,0,,,
2180,,,1961,07A,A048,1,08,08,7,0,0,,,,0,,0,,0,,1,,2,,0,,4,,,,,,,0,0,,,
2180,,,1961,07A,A048,2,08,08,7,0,0,,,,0,,0,,0,,0,,2,,3,,2,,,,,,,0,0,,,
2180,,,1961,07A,A049,1,08,08,7,0,0,,,,0,,0,,1,,0,,3,,0,,3,,,,,,,0,0,,,
2180,,,1961,07A,A049,2,08,08,1,0,0,,,,0,,0,,0,,0,,1,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A050,1,08,08,39,1,0,,,,0,,2,,3,,1,,2,,8,,22,,,,,,,0,1,,,
2180,,,1961,07A,A050,2,08,08,29,0,0,,,,0,,2,,0,,1,,6,,8,,12,,,,,,,0,0,,,
2180,,,1961,07A,A051,1,08,08,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,,,
2180,,,1961,07A,A051,2,08,08,40,0,0,,,,0,,0,,2,,6,,13,,9,,9,,,,,,,1,0,,,
2180,,,1961,07A,A052,2,08,08,41,0,0,,,,0,,0,,2,,10,,10,,8,,11,,,,,,,0,0,,,
2180,,,1961,07A,A053,2,08,08,205,0,0,,,,0,,0,,7,,36,,42,,58,,62,,,,,,,0,0,,,
2180,,,1961,07A,A054,1,08,08,36,0,0,,,,0,,0,,0,,0,,4,,3,,29,,,,,,,0,0,,,
2180,,,1961,07A,A055,1,08,08,6,0,0,,,,0,,0,,1,,0,,0,,1,,4,,,,,,,0,0,,,
2180,,,1961,07A,A055,2,08,08,12,0,0,,,,0,,0,,2,,0,,1,,2,,7,,,,,,,0,0,,,
2180,,,1961,07A,A056,1,08,08,13,0,1,,,,0,,3,,0,,0,,1,,4,,4,,,,,,,0,0,,,
2180,,,1961,07A,A056,2,08,08,10,0,0,,,,2,,0,,2,,2,,0,,2,,2,,,,,,,0,0,,,
2180,,,1961,07A,A057,1,08,08,216,2,5,,,,3,,4,,15,,20,,35,,49,,81,,,,,,,2,2,,,
2180,,,1961,07A,A057,2,08,08,262,1,2,,,,7,,3,,14,,28,,47,,59,,96,,,,,,,5,1,,,
2180,,,1961,07A,A058,1,08,08,30,0,3,,,,2,,5,,3,,3,,7,,6,,1,,,,,,,0,0,,,
2180,,,1961,07A,A058,2,08,08,29,2,3,,,,4,,2,,1,,5,,2,,5,,5,,,,,,,0,2,,,
2180,,,1961,07A,A059,1,08,08,15,2,0,,,,1,,1,,2,,2,,1,,2,,4,,,,,,,0,2,,,
2180,,,1961,07A,A059,2,08,08,10,0,2,,,,0,,0,,1,,0,,2,,4,,1,,,,,,,0,0,,,
2180,,,1961,07A,A060,1,08,08,71,3,4,,,,3,,6,,5,,8,,7,,9,,25,,,,,,,1,3,,,
2180,,,1961,07A,A060,2,08,08,100,3,2,,,,5,,10,,8,,20,,8,,10,,33,,,,,,,1,3,,,
2180,,,1961,07A,A061,1,08,08,5,0,0,,,,0,,1,,0,,1,,2,,0,,0,,,,,,,1,0,,,
